time,temperature_2m (°C),precipitation (mm),wind_speed_10m (km/h),relative_humidity_2m (%),weather_code (wmo code)
2024-01-15T12:00,-1.9,0,3.8,67,3
2024-01-15T13:00,-1.5,0,3.6,67,3
2024-01-15T14:00,-1.2,0.1,4.3,67,71
2024-01-15T15:00,-0.7,0.1,4,67,71
2024-01-15T16:00,-0.8,0.2,4.7,70,71
2024-01-15T17:00,-0.9,0.2,5.8,73,71
2024-01-15T18:00,-1.1,0.4,5.4,77,73
2024-01-15T19:00,-1.2,0.4,6.8,82,73
2024-01-15T20:00,-1.3,0.5,7.8,86,73
2024-01-15T21:00,-1.9,0.2,7.8,87,71
2024-01-15T22:00,-1.9,0.5,7.3,88,73
2024-01-15T23:00,-2.1,1.2,8.6,92,75
2024-01-16T00:00,-2,0.9,8,92,73
2024-01-16T01:00,-1.9,0.2,7.3,92,71
2024-01-16T02:00,-1.8,0.3,7,92,73
2024-01-16T03:00,-1.7,0.4,7.7,93,73
2024-01-16T04:00,-1.6,0,7.4,93,3
2024-01-16T05:00,-1.5,0.5,7.9,94,73
2024-01-16T06:00,-1.4,0.2,8,93,71
2024-01-16T07:00,-1.3,0,7.6,94,3
2024-01-16T08:00,-1.2,0.1,6.4,94,51
2024-01-16T09:00,-2,0,8.3,93,3
2024-01-16T10:00,-1.7,0.4,9.3,92,51
2024-01-16T11:00,-1.2,0,10.1,90,3
2024-01-16T12:00,-1,0,16.3,88,3
2024-01-16T13:00,-1,0.1,19.1,88,51
2024-01-16T14:00,-0.7,0,19.4,83,3
2024-01-16T15:00,-0.6,0,20.4,72,3
2024-01-16T16:00,-1.4,0,21.9,64,3
2024-01-16T17:00,-2.2,0,21.2,62,3
2024-01-16T18:00,-3.7,0,19.2,61,3
2024-01-16T19:00,-4.8,0,17.1,62,3
2024-01-16T20:00,-5.7,0,16.8,63,0
2024-01-16T21:00,-6.6,0,18.6,67,0
2024-01-16T22:00,-7.3,0,17.1,67,0
2024-01-16T23:00,-7.6,0,16.1,67,0
2024-01-17T00:00,-8,0,17.1,68,0
2024-01-17T01:00,-8.4,0,17.4,68,0
2024-01-17T02:00,-9,0,15.6,69,0
2024-01-17T03:00,-9.4,0,14.7,69,0
2024-01-17T04:00,-9.7,0,14.3,67,0
2024-01-17T05:00,-9.7,0,15,66,0
2024-01-17T06:00,-9.8,0,14.2,66,0
2024-01-17T07:00,-9.9,0,12.4,66,0
2024-01-17T08:00,-10,0,10.7,67,0
2024-01-17T09:00,-10.2,0,6.6,72,0
2024-01-17T10:00,-8.2,0,7.6,65,0
2024-01-17T11:00,-6.7,0,11.9,53,0
2024-01-17T12:00,-5.6,0,9.8,49,0
2024-01-17T13:00,-4.6,0,10.2,45,0
2024-01-17T14:00,-3.6,0,11.5,40,0
2024-01-17T15:00,-3,0,12.8,35,0
2024-01-17T16:00,-2.5,0,11.3,36,0
2024-01-17T17:00,-2.8,0,8.2,40,0
2024-01-17T18:00,-6.9,0,10.7,54,0
2024-01-17T19:00,-7.6,0,9.7,62,0
2024-01-17T20:00,-8.4,0,10.1,64,0
2024-01-17T21:00,-6.3,0,9.3,61,0
2024-01-17T22:00,-6.9,0,8.2,63,0
2024-01-17T23:00,-7.7,0,7.8,67,0
2024-01-18T00:00,-8.3,0,8.2,69,0
2024-01-18T01:00,-7.7,0,7.5,68,1
2024-01-18T02:00,-7.8,0,7.3,69,2
2024-01-18T03:00,-8.9,0,10.1,71,3
2024-01-18T04:00,-6.4,0,7.1,63,3
2024-01-18T05:00,-7.2,0,7.6,70,3
2024-01-18T06:00,-7.1,0,8.2,67,3
2024-01-18T07:00,-5.6,0,6.7,63,3
2024-01-18T08:00,-5.5,0,4.9,65,3
2024-01-18T09:00,-5.8,0,4.9,66,3
2024-01-18T10:00,-4.4,0,1.6,57,3
2024-01-18T11:00,-2.6,0,1.5,48,3
2024-01-18T12:00,-1.3,0,1.8,64,3
2024-01-18T13:00,0.1,0,5.1,50,3
2024-01-18T14:00,0.5,0,5.4,50,3
2024-01-18T15:00,1.3,0,4.6,51,3
2024-01-18T16:00,1.4,0,4.9,58,3
2024-01-18T17:00,3.6,0,4.2,31,3
2024-01-18T18:00,3.3,0,3,33,3
2024-01-18T19:00,2.4,0,3,38,3
2024-01-18T20:00,0,0,3.9,60,3
2024-01-18T21:00,-1.3,0,5.1,76,3
2024-01-18T22:00,-1.7,0,5,77,3
2024-01-18T23:00,-1.5,0,4.3,77,3
2024-01-19T00:00,-1.5,0,4.2,77,3
2024-01-19T01:00,-1.4,0,5.2,76,3
2024-01-19T02:00,-1.2,0,5.5,78,3
2024-01-19T03:00,-1.6,0,4.6,82,3
2024-01-19T04:00,-1.1,0.1,4.6,84,71
2024-01-19T05:00,-1.1,0.4,6.6,87,73
2024-01-19T06:00,-1.2,0.8,8.4,91,73
